rank,hashtag,posts,views,country,day,timeScriptWasExecuted
15,# gamesnotiktok,17.6,60000000.0,All regions,2023-01-27,17:31:21.947904
1,# mascara,33.2,346.7,All regions,2023-01-29,18:06:57.283341
2,# kobebryant,16.6,161.8,All regions,2023-01-29,18:06:57.283341
3,# soldierpoetking,21.5,209.3,All regions,2023-01-29,18:06:57.283341
4,# kobe,17.5,140.7,All regions,2023-01-29,18:06:57.283341
5,# soldier,17.9,360000000.0,All regions,2023-01-29,18:06:57.283341
6,# enkyboys,5.3,236.1,All regions,2023-01-29,18:06:57.283341
7,# carteldesanta,16.4,187000000.0,All regions,2023-01-29,18:06:57.283341
8,# poet,20.2,126.2,All regions,2023-01-29,18:06:57.283341
9,# 14defebrero,25.7,213.8,All regions,2023-01-29,18:06:57.283341
10,# ben10,33.6,125.4,All regions,2023-01-29,18:06:57.283341
11,# pathaan,11.6,93.6,All regions,2023-01-29,18:06:57.283341
12,# lakers,11.7,257.9,All regions,2023-01-29,18:06:57.283341
13,# valentino,7000.0,103.5,All regions,2023-01-29,18:06:57.283341
14,# copadelrey,9.7,155.7,All regions,2023-01-29,18:06:57.283341
15,# thursday,8.6,26.1,All regions,2023-01-29,18:06:57.283341
1,# mascara,20.9,145.3,United States,2023-01-29,18:07:15.312000
2,# enkyboys,5000.0,192.3,United States,2023-01-29,18:07:15.312000
3,# kobebryant,9.1,64.9,United States,2023-01-29,18:07:15.312000
4,# kobe,9.7,61.9,United States,2023-01-29,18:07:15.312000
5,# soldierpoetking,9.4,51.8,United States,2023-01-29,18:07:15.312000
6,# cashapp,10.2,14000000.0,United States,2023-01-29,18:07:15.312000
7,# mikaylanogueira,4000.0,107.3,United States,2023-01-29,18:07:15.312000
8,# enkyboy,1.6,98.9,United States,2023-01-29,18:07:15.312000
9,# lakers,6.8,126.5,United States,2023-01-29,18:07:15.312000
10,# poet,8.6,34.2,United States,2023-01-29,18:07:15.312000
11,# soldier,5.7,56000000.0,United States,2023-01-29,18:07:15.312000
12,# cancersucks,5.1,38.9,United States,2023-01-29,18:07:15.312000
13,# thursday,4.9,11.6,United States,2023-01-29,18:07:15.312000
14,# mascaratrend,5000.0,27.9,United States,2023-01-29,18:07:15.312000
15,# winniethepooh,4.7,19.7,United States,2023-01-29,18:07:15.312000
1,# russland,1.9,39000000.0,Germany,2023-01-29,18:07:33.185972
2,# frieden,2.2,12.6,Germany,2023-01-29,18:07:33.185972
3,# putin,1.3,31.1,Germany,2023-01-29,18:07:33.185972
4,# nato,698.0,23.3,Germany,2023-01-29,18:07:33.185972
5,# nowar,711.0,4000000.0,Germany,2023-01-29,18:07:33.185972
6,# kobebryant,311.0,2.8,Germany,2023-01-29,18:07:33.185972
7,# scholz,783.0,9.2,Germany,2023-01-29,18:07:33.185972
